Reference,Index,Substrate,Power_1,Power_2,Power_3,Temperature,Base pressure,Gas,Working pressure,Ni,Mo,Co,Fe,Cu,Al,Pt,NiO,V,W,N,Pd,S,Cr,Ni(OH)2,Ag,B,C,Zn,Zr,Ru,Nb,Electrolyte,Concentration,IR compensation,Overpotential at 10mA/cm2,Tafel slope
20,125,C,250,150,0,25,4.50E-06,Ar+N2,1.50E-02,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-108,60
21,127,Cu,80,80,80,25,NA,Ar,1.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,KOH,1,1,-220,92
22,130,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-38,35
22,131,Ni,200,200,0,25,4.50E-06,Ar,2.25E-02,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-35,29
22,132,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-162,148
23,133,C,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-80,105
23,134,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-542,116
23,135,C,200,200,200,25,1.00E-08,Ar,3.00E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-246,68
23,136,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-322,51
23,137,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-720,150
23,138,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-260,105
23,139,C,200,200,200,800,1.00E-08,Ar,3.00E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-282,72
23,140,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-257,158
23,141,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-329,171
24,143,Ni,300,300,300,25,5.00E-03,Ar,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,52
25,147,Cu,250,250,250,25,3.75E-06,Ar,7.50E-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,KOH,1,0,-190,111
25,148,Cu,250,250,250,25,3.75E-06,Ar,7.50E-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,KOH,1,0,-163,107
27,152,BDD,200,200,200,25,NA,Ar,3.75E-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-273,88
28,156,Ni,300,300,300,25,NA,Ar+N2,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-91,100
28,157,Ni(OH)2,300,300,300,25,NA,Ar+N2,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-57,65
29,158,Ni,20,20,20,25,3.75E-05,Ar,6.00E-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,56.3
29,159,Ni,0,50,300,25,3.75E-05,Ar,6.00E-03,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,122.1
29,160,Ni,20,50,300,25,3.75E-05,Ar,6.00E-03,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-41,43.7
29,161,Ni,20,50,300,25,3.75E-05,Ar,6.00E-03,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-56,48.4
30,162,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,KOH,1,1,-45,36
30,163,Ni,150,50,0,25,4.50E-06,Ar,2.25E-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,KOH,1,1,-57,49
30,166,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-282,104
30,170,Ni,50,150,0,25,4.50E-06,Ar,2.25E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,KOH,1,1,-45,40
30,171,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-162,148
30,174,Ni,100,100,0,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,KOH,1,1,-39,37
30,176,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,KOH,1,1,-261,82
31,177,Ni,120,120,120,25,7.50E-07,Ar,9.75E-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,KOH,1,,-235,141
31,178,Ni,120,120,120,25,7.50E-07,Ar,9.75E-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,KOH,1,,-160,99
