Reference,Index,Substrate,Power_1,Power_2,Power_3,Temperature,Base pressure,Gas,Working pressure,Ni,Mo,Co,Fe,Cu,Al,Pt,NiO,V,W,N,Pd,S,Cr,Ni(OH)2,Ag,C,Zr,Ru,Nb,Electrolyte,Concentration,IR compensation,Overpotential at 10mA/cm2,Tafel slope
6,65,C,100,100,100,25,3.75E-06,Ar,3.75E-03,21.2,0,25.5,21.6,24.9,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,KOH,1,1,-29.7,47.2
7,66,Ni,80,80,80,25,1.50E-06,Ar,3.75E-03,0,33.33,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,KOH,1,,-56,49
7,67,C,80,80,80,25,1.50E-06,Ar,3.75E-03,0,33.33,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,KOH,1,,-61,52.3
8,68,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,40.5,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-317,123
8,69,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,53.5,0,0,40.6,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-239,119
8,70,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,45.9,0,0,43.6,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-249,116
8,71,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,50.5,0,0,33.8,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-98,105
8,72,Ni,50,50,50,200,1.00E-06,Ar,9.50E-03,40,0,0,37.6,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-232,108
9,73,Cu,90,90,90,25,6.00E-07,Ar,6.00E-03,26.7,0,0,0,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-81,157.2
9,74,Cu,90,90,90,25,6.00E-07,Ar,6.00E-03,17.6,0,0,0,0,0,0,82.4,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-47,118.36
9,75,Cu,90,90,90,25,6.00E-07,Ar,6.00E-03,16.8,0,0,0,0,0,0,83.2,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-22,80.86
9,76,Cu,90,90,90,25,6.00E-07,Ar,6.00E-03,15,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-25,95.03
10,77,Ni,50,50,50,25,NA,Ar,NA,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,57.81
10,78,Ni,50,50,50,25,NA,Ar,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,139.34
10,79,Ni,50,50,50,25,NA,Ar,NA,80.27,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,57.83
10,80,Ni,50,50,50,25,NA,Ar,NA,86.03,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-23,44.83
11,81,C,190,190,190,25,4.50E-06,Ar,1.50E-02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-187,146
11,82,C,190,190,190,25,4.50E-06,Ar+N2,1.50E-02,75,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,KOH,1,1,-118,119
12,83,FTO,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-57,28
12,84,FTO,150,150,150,25,NA,Ar+N2,NA,77.8,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,KOH,1,1,-89,38
13,85,C,70,70,70,300,1.00E-06,Ar,9.00E-03,0,6.66,0,0,0,0,0,0,0,0,0,0,47.49,0,0,45.85,0,0,0,0,KOH,1,1,-250,129
13,86,C,70,70,70,300,1.00E-06,Ar,9.00E-03,78.97,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,KOH,1,1,-197,99
13,87,C,70,70,70,300,1.00E-06,Ar,9.00E-03,25.53,11.2,0,0,0,0,0,0,0,0,0,0,28.09,0,0,35.18,0,0,0,0,KOH,1,1,-160,96
14,88,Ni,80,80,80,25,3.00E-06,Ar,4.50E-03,0,33.33,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,0,0,0,KOH,1,,-174,268
15,89,Ni,50,50,50,200,NA,Ar,9.00E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-208,
15,90,Ni,50,50,50,200,NA,Ar,9.00E-03,67.67,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-72,96
15,91,Ni,50,50,50,200,NA,Ar,9.00E-03,80.65,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-64,90
15,92,Ni,50,50,50,200,NA,Ar,9.00E-03,85.62,14.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-39,66
15,93,Ni,50,50,50,200,NA,Ar,9.00E-03,88.61,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-58,73
15,94,Ni,50,50,50,200,NA,Ar,9.00E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,,-108,
16,95,Ni,NA,NA,NA,25,3.00E-05,Ar,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,0,-91,115
16,96,Ni,NA,NA,NA,25,3.00E-05,Ar,NA,6.57,93.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,0,-71,104
17,97,C,30,200,0,25,7.50E-07,Ar,6.00E-03,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,KOH,1,,,120
17,98,C,30,200,0,25,7.50E-07,Ar,6.00E-03,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,0,0,0,KOH,1,,-117,79
17,99,C,30,200,0,25,7.50E-07,Ar,6.00E-03,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,KOH,1,,,97
18,100,Ni,200,200,200,25,3.75E-07,Ar,2.25E-02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-166,135
18,101,Ni,200,100,0,25,3.75E-07,Ar,2.25E-02,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,KOH,1,1,-92,66
18,102,Ni,200,200,0,25,3.75E-07,Ar,2.25E-02,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,KOH,1,1,-161,123
19,103,Ni,50,50,50,200,NA,Ar,9.00E-03,55.3,0,44.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-181,154.1
19,104,Ni,50,50,50,200,NA,Ar,9.00E-03,66.97,0,33.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-72,119.35
19,105,Ni,50,50,50,200,NA,Ar,9.00E-03,80.27,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-53,68.08
19,106,Ni,50,50,50,200,NA,Ar,9.00E-03,86.57,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-59,84.36
20,107,C,250,250,250,25,4.50E-06,Ar+N2,1.50E-02,0,66.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,KOH,1,1,-130,74
20,108,C,150,150,150,25,4.50E-06,Ar+N2,1.50E-02,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,KOH,1,1,-399,131
20,109,C,250,150,0,25,4.50E-06,Ar+N2,1.50E-02,0,52.8,0,0,0,0,0,0,0.9,0,46.3,0,0,0,0,0,0,0,0,0,KOH,1,1,-108,60
21,110,Cu,80,80,80,25,NA,Ar,1.05,65.6,0,0,0,0,0,0,18.2,0,0,0,0,0,0,16.2,0,0,0,0,0,KOH,1,1,-263,89
21,111,Cu,80,80,80,25,NA,Ar,1.05,15.4,0,0,0,0,0,0,34.5,0,0,0,0,0,0,50.1,0,0,0,0,0,KOH,1,1,-220,92
21,112,Cu,80,80,80,25,NA,Ar,1.05,39.2,0,0,0,0,0,0,47.9,0,0,0,0,0,0,12.9,0,0,0,0,0,KOH,1,1,-256,92
21,113,Cu,80,80,80,25,NA,Ar,1.05,16.4,0,0,0,0,0,0,35.3,0,0,0,0,0,0,48.3,0,0,0,0,0,KOH,1,1,-215,108
22,114,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-38,35
22,115,Ni,100,100,0,25,4.50E-06,Ar,2.25E-02,25,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-35,29
22,116,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-162,148
23,117,C,NA,NA,NA,25,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-80,105
23,118,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-542,116
23,119,C,200,200,200,25,1.00E-08,Ar,3.00E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-246,68
23,120,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-322,51
23,121,C,200,200,200,25,1.00E-08,Ar,3.00E-03,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-720,150
23,122,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-260,105
23,123,C,200,200,200,800,1.00E-08,Ar,3.00E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-282,72
23,124,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-257,158
23,125,C,200,200,200,800,1.00E-08,Ar,3.00E-03,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-329,171
24,126,Ni,300,300,300,25,5.00E-03,Ar,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,59
24,127,Ni,300,300,300,25,5.00E-03,Ar,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,52
27,128,BDD,200,200,200,25,NA,Ar,3.75E-03,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-282,110
29,129,Ni,20,20,20,25,3.75E-05,Ar,6.00E-03,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,,56.3
29,130,Ni,20,50,300,25,3.75E-05,Ar,6.00E-03,0,0,0,0,46,0,9,0,0,45,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-41,43.7
29,131,Ni,20,50,300,25,3.75E-05,Ar,6.00E-03,0,0,0,0,46,0,9,0,0,45,0,0,0,0,0,0,0,0,0,0,NaOH,1,1,-56,48.4
30,132,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,KOH,1,1,-45,36
30,133,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-282,104
30,134,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KOH,1,1,-162,148
30,135,Ni,200,200,200,25,4.50E-06,Ar,2.25E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,KOH,1,1,-261,82
